x,		y,,est_dx,est_dy,dx,dy,,spostamento,est_spostamento
10.1,0.40,,11.7082154035219,-0.377091922222097,10.1,-0.40,,10.1077601871038,11.7142864167252
0.026,-0.31,,12.2043258166538,-0.59619072573582,10.074,-0.709,,10.0989186054745,12.21887932752
10.1,0.64,,12.1812390261914,-0.592971667387933,10.074,-0.948,,10.1185068068367,12.195663147674
0.044,-0.50,,12.1998539558009,-0.58864324041686,10.056,-1.138,,10.12018675717,12.2140467252815
10,0.88,,12.183885166968,-0.583070907379437,9.956,-1.381,,10.0513231467305,12.1978288824239
0.082,-0.72,,12.1818378485762,-0.571358944461857,9.918,-1.595,,10.0454342365076,12.1952295760441
9.99,1.14,,12.1372862130059,-0.571167768428115,9.908,-1.857,,10.0805214646862,12.150718054342
0.126,-0.93,,12.1979555619132,-0.558646541155106,9.864,-2.07,,10.0788588639786,12.2107414127216
9.93,1.34,,12.2020097673267,-0.555839506637688,9.804,-2.27,,10.0633650435627,12.2146633158297
0.173,-1.11,,12.1840148802908,-0.546349817800368,9.757,-2.45,,10.0598980611137,12.196258308455
9.57,0.376,,11.6493287052518,-0.556387378176351,9.57,-0.376,,9.57738356755121,11.6626080358382
0.324,-0.279,,11.5976707136505,-0.554128182276346,9.246,-0.655,,9.26917153795311,11.6109010858184
9.57,0.252,,11.6657955194199,-0.554397900990647,9.246,-0.531,,9.26123517680012,11.6789615177695
0.507,-0.145,,11.6483168054563,-0.554709970934661,9.063,-0.397,,9.07169102207521,11.6615173777742
9.59,0.201,,11.0908534334346,-0.521786153218013,9.083,-0.346,,9.08958772442403,11.1031207627233
0.506,-0.095,,11.0903278393237,-0.522613131718368,9.084,-0.296,,9.08882126570877,11.1026346453949
9.58,0.159,,11.0916930149314,-0.522017285318566,9.074,-0.254,,9.07755429617471,11.1039702802038
0.505,-0.048,,11.0950070770157,-0.521213215821553,9.075,-0.207,,9.07736051944617,11.1072429187164
9.09,0.093,,11.0871805309534,-0.520699806938962,8.585,-0.141,,8.58615781359742,11.0994009034226
0.505,-0.127,,10.5298741193886,-0.487383003984037,8.585,-0.22,,8.5878184074886,10.5411475258978
9.09,0.141,,10.5253046271436,-0.487975823162712,8.585,-0.268,,8.58918209144503,10.5366103609349
0.506,-0.168,,10.5288222847525,-0.488238465983794,8.584,-0.309,,8.58955976753174,10.5401364082049
9.09,0.171,,10.5310718427001,-0.489155655662457,8.584,-0.339,,8.59069129930764,10.5424260685849
1.02,-0.161,,10.5312761170523,-0.489445722167836,8.07,-0.332,,8.07682635693005,10.542643585389
9.01,0.123,,9.96884365820517,-0.449809904777603,7.99,-0.284,,7.99504571594184,9.97898656338275
1.03,-0.098,,9.97945901465364,-0.452426950140438,7.98,-0.221,,7.98305962648407,9.98970932361724
9.1,0.078,,9.96023873619179,-0.454171910351342,8.07,-0.176,,8.0719189787807,9.97058813742136
1.01,-0.044,,9.95985208765887,-0.451040955313491,8.09,-0.122,,8.09091984881818,9.97005975666209
8.61,0.064,,9.95564284295208,-0.449689255885522,7.6,-0.108,,7.60076732968455,9.96579373874865
1.03,0.012,,9.44003034281685,-0.41556973638927,7.58,-0.052,,7.58017836201761,9.44917303678504
8.6,0.244,,9.41308705459712,-0.411264578634179,7.57,-0.232,,7.57355425147269,9.42206699461764
1.02,0.354,,9.33500501302289,-0.593445179647823,7.58,-0.11,,7.58079811101707,9.3538492490744
8.6,0.168,,9.39077379439374,-0.410317007752905,7.58,-0.186,,7.58228171462918,9.39973364007319
1.51,0.422,,9.38556852759143,-0.407185148069098,7.09,-0.254,,7.0945483295274,9.39439707117614
8.6,0.33,,8.80986526832759,-0.376246208594366,7.09,-0.092,,7.09059687191424,8.81789585193465
1.51,0.381,,8.81104017938833,-0.380508643465528,7.09,-0.051,,7.09018342498979,8.81925256870147
8.6,0.355,,8.81517389289187,-0.382344862463709,7.09,-0.026,,7.09004767261829,8.82346181245065
1.49,0.361,,8.83577123918525,-0.382758006245429,7.11,-0.006,,7.11000253164512,8.84405772722895
8.11,0.361,,8.81241998560007,-0.383301746479634,6.62,0,,6.62,8.8207520218776
1.49,0.43,,8.24307691922282,-0.34977746549361,6.62,-0.069,,6.62035958237919,8.25049461375444
8.09,0.286,,8.28817060376077,-0.346406953213316,6.6,-0.144,,6.60157072218423,8.29540654424355
1.5,0.524,,8.21881176819865,-0.343281191096809,6.59,-0.238,,6.59429632333883,8.22597768397419
8.09,0.165,,8.22052528039172,-0.339703273543908,6.59,-0.359,,6.59977128391583,8.22754120011658
1.99,0.591,,8.22735182188974,-0.335330222783134,6.1,-0.426,,6.11485698933344,8.23418267707635
8.09,0.361,,7.63855883104311,-0.302263649432536,6.1,-0.23,,6.1043345255646,7.64453689434978
1.99,0.692,,7.64608238253381,-0.296554757840358,6.1,-0.331,,6.10897380907792,7.65183118768911
8.05,-0.092,,7.64467384127081,-0.292646441390749,6.06,-0.784,,6.11050374355503,7.65027320290386
2,0.921,,7.64813402415359,-0.286781460872559,6.05,-1.013,,6.13422114045459,7.65350884612515
7.56,-0.134,,7.64368116077804,-0.284963743543842,5.56,-1.055,,5.659207099939,7.64899117680022
2.01,0.748,,7.01745635319799,-0.262238340073018,5.55,-0.882,,5.61964625221197,7.02235449233682
7.58,-0.054,,7.05545870753299,-0.262171008600216,5.57,-0.802,,5.62744204768028,7.06032798186129
1.99,0.687,,7.05140752448298,-0.263558924922893,5.59,-0.741,,5.63889891734193,7.05633129772417
7.58,0.063,,7.05151914831651,-0.264589865335168,5.59,-0.624,,5.62472008192408,7.0564814246133
2.47,0.549,,7.05195506030108,-0.269168545829782,5.11,-0.486,,5.13305912687551,7.05709018495372
7.59,0.008,,6.45599182481822,-0.236273994597085,5.12,-0.541,,5.1485027920746,6.46031391208218
2.48,0.612,,6.45241151736713,-0.23865400158766,5.11,-0.604,,5.14557246572235,6.4568235318867
7.58,-0.0442,,6.45627524967915,-0.236048850689496,5.1,-0.6562,,5.14204224408941,6.46058891739224
2.49,0.682,,6.45606521096724,-0.234182581899582,5.09,-0.7262,,5.14154319635652,6.46031109854058
7.06,-0.038,,6.44971230050701,-0.231834415935342,4.57,-0.72,,4.62637006734221,6.45387759069875
2.51,0.79,,5.85700921170846,-0.204056833245137,4.55,-0.828,,4.6247252891388,5.86056277990704
7.08,0.037,,5.86602801804784,-0.201687926675244,4.57,-0.753,,4.63162055872456,5.86949424808381
2.58,1.07,,5.82650939871156,-0.300261744419475,4.5,-1.033,,4.61704331796876,5.83424107219062
7.05,-0.756,,5.8605197501306,-0.196360567010888,4.47,-1.826,,4.82857908706071,5.8638084223436
3.05,0.998,,5.85515672061713,-0.19533359346816,4,-1.754,,4.36766711185731,5.85841407171985
7.06,-0.047,,5.25587445844754,-0.173866413416715,4.01,-1.045,,4.14392627830178,5.25874945711199
3.06,0.965,,5.25906142262919,-0.174163479425807,4,-1.012,,4.12603247684746,5.2619445041308
7.06,-0.016,,5.2548099582493,-0.175154880404587,4,-0.981,,4.11853869715947,5.25772830502352
3.05,0.925,,5.24720755871301,-0.175221041588568,4.01,-0.941,,4.11892959396006,5.25013233905873
6.61,0.012,,5.25483755647688,-0.179376746588545,3.56,-0.913,,3.67521006202367,5.25789822668494
3.03,0.91,,4.64509046022408,-0.153006367143654,3.58,-0.898,,3.69090828929682,4.64760974394916
6.61,0.136,,4.64430498781832,-0.151860189205125,3.58,-0.774,,3.66271429407209,4.64678709830131
3.05,0.905,,4.61550974597604,-0.155261500485036,3.56,-0.769,,3.64210941625866,4.61812043462843
6.61,0.141,,4.62769330853679,-0.152658018609347,3.56,-0.764,,3.64105698939195,4.63021055984735
3.51,0.802,,4.63807228404387,-0.150367246464482,3.1,-0.661,,3.16968783951985,4.64050911224461
6.59,0.053,,4.02725856726401,-0.12532429909411,3.08,-0.749,,3.16976355585081,4.02920807945492
3.53,0.888,,4.03190546262157,-0.123256681949016,3.06,-0.835,,3.17188035713833,4.03378902139945
6.57,-0.033,,4.03453410640482,-0.122156858450727,3.04,-0.921,,3.17645100702026,4.0363830038551
3.55,0.931,,4.02778300571929,-0.122091156873067,3.02,-0.964,,3.17012554956424,4.02963300956151
6.08,0.091,,4.02715732649922,-0.121947950653782,2.53,-0.84,,2.66580194313081,4.02900328059497
3.57,0.909,,3.418264667782,-0.102864633445644,2.51,-0.818,,2.63992878691831,3.41981205211934
6.08,0.104,,3.41580388363132,-0.103056728316876,2.51,-0.805,,2.63592962728522,3.41735816979757
3.56,0.895,,3.40837485116945,-0.102871668082414,2.52,-0.791,,2.64122717690092,3.40992693560704
6.09,0.116,,3.4125454642045,-0.103622918901,2.53,-0.779,,2.64721381833807,3.41411837149567
4.03,0.742,,3.41421739832868,-0.104017025935152,2.06,-0.626,,2.15301555962794,3.41580151424738
6.11,0.128,,2.80593376221967,-0.08410506505545,2.08,-0.614,,2.16873142643343,2.8071939619364
4.04,0.725,,2.80068733898161,-0.083866387514827,2.07,-0.597,,2.1543697454244,2.80194274418424
6.11,0.144,,2.80927694210621,-0.085049462527559,2.07,-0.581,,2.14999093021343,2.81056406234155
4.03,0.706,,2.79862300181816,-0.084062391455945,2.08,-0.562,,2.15458673531608,2.79988521049756
5.64,0.278,,2.79804113338128,-0.084895694345426,1.61,-0.428,,1.66591836534687,2.79932875222114
4.03,0.756,,2.17594092857045,-0.058690876868832,1.61,-0.478,,1.6794594368427,2.17673230868099
5.64,0.291,,2.17620354560345,-0.057572268437093,1.61,-0.465,,1.67580577633567,2.17696496021181
4.07,0.856,,2.16026614079118,-0.091841728102399,1.57,-0.565,,1.66856974681911,2.16221754272544
5.62,0.261,,2.16792356123417,-0.057816295345811,1.55,-0.595,,1.66027859108042,2.16869437481674
4.54,0.704,,2.16541870451352,-0.057830529698859,1.08,-0.443,,1.16732557583564,2.16619078938635
5.62,0.263,,1.54338266122852,-0.043330939922377,1.08,-0.441,,1.16656804345053,1.54399080610456
4.55,0.696,,1.54929888527826,-0.042762359734792,1.07,-0.433,,1.15429155762312,1.54988891709521
5.66,0.267,,1.54295641499177,-0.042738304140153,1.11,-0.429,,1.19001722676607,1.543548205015
4.54,0.693,,1.5475888760895,-0.042645799328836,1.12,-0.426,,1.19828043462288,1.54817634447642
5.22,0.348,,1.53723512939635,-0.042646748569308,0.68,-0.345,,0.762512294982841,1.53782657936899
4.55,0.69,,0.917166051232445,-0.025011040515423,0.67,-0.342,,0.752239323619817,0.91750701233341
5.22,0.464,,0.916982581112765,-0.024983282967382,0.67,-0.226,,0.707089810420147,0.917322854011638
4.57,0.706,,0.90175852113902,-0.03685815935802,0.65,-0.242,,0.693587773825346,0.902511470485607
5.22,0.464,,0.909915962422447,-0.02471914056125,0.65,-0.242,,0.693587773825346,0.910251665519627
9.5, 8.96914645678365, -0.350549137623631169.0, 7.421841596639639, -0.414102528026336745.5, 5.329376326931453, -0.172519454987150885.0, 5.1063991555623875, -0.26350437883368764.5, 4.610872291423408, -0.231782931906600575.5, 5.59722561507717, -0.171841866259653235.0, 5.358530872474827, -0.26341499208602324.5, 4.8459653765448385, -0.340693785317248534.0, 4.368283535439977, -0.20554502441862473.5, 3.866533741206548, -0.18194952518141393.0, 3.3516203982485866, -0.151153337766531675.5, 5.602318862218174, -0.173279599666592125.5, 5.88197827500547, -0.28998953676839445.5, 5.875944806694768, -0.29129903586640065.5, 5.88234373691477, -0.291391072062564875.0, 5.383465610878036, -0.262595465299316655.0, 5.38308902581506, -0.262981306925169135.0, 5.36703030408441, -0.262368680119220655.0, 5.382671270463462, -0.26212483623127714.5, 4.891869070422315, -0.233506497142913555.5, 5.6086299846057655, -0.172494326179820335.5, 5.873334915749353, -0.289093310327063375.5, 5.872673715274277, -0.28778600237549485.5, 5.902143154955138, -0.28610858509731375.0, 5.349951921337152, -0.37211293111752235.0, 5.380180986307066, -0.25299471262533425.0, 5.382695707674729, -0.2500226690478735.0, 5.401320406492286, -0.249020092916554445.5, 5.599359310312409, 0.0621499412665568055.5, 5.841126949220331, -0.076927776674420945.5, 5.851408136281133, -0.075665073413014765.5, 5.851263549726011, -0.075494791595433045.5, 5.598929017001013, 0.0619908203421543765.5, 5.873429615720822, 0.18238978814494635.5, 5.872231806891263, 0.181737143895266575.5, 5.870090193099757, 0.179989583887304575.0, 5.3716791417736385, 0.164917457675403285.0, 5.3810195718232485, 0.161105107139427445.0, 5.378738445462171, 0.15690278680355525.5, 5.597255617579766, 0.0620990905229548565.5, 5.85720831080627, 0.190426847798792965.5, 5.848540488109691, 0.19065429610020665.5, 5.8617186918639765, 0.188475488888045135.0, 5.353759876292226, 0.173998824906130835.5, 5.596651854440799, 0.06439458437920519